"","population","Env","production","rust","green"
"P87","Prec","fem",6.14040386331945,-0.379847186610547,-68.5642052738125
"P88","Prec","fem",-6.09526798920645,-0.0620447179441376,-36.3132212680453
"P89","Prec","fem",0.0392794130446083,0.560923473698265,7.93777742318786
"P90","Prec","fem",-1.48273805808309,-0.318609446899802,-53.3770855611723
"P92","Prec","fem",0.969262839826473,-0.0437310158927628,-47.371821980052
"P2","Prec","fem",-2.13156166742087,-0.167538847487792,32.8701294577309
"P10","Prec","fem",0.176702972699955,0.20192877899026,41.0691508471918
"P100","Prec","fem",0.173578478301032,-0.421714881889843,-17.3558321589821
"P14","Prec","fem",2.21220477177585,-0.00385748333850263,-20.1697490547885
"P15","Prec","fem",-0.64995947552005,-0.00272507515544771,17.5447390466462
"P18","Prec","fem",-2.54751535850573,0.0857824759837428,-7.90397475496204
"P31","Prec","fem",4.42051998951753,0.0793928166345557,23.6103219643333
"P33","Prec","fem",-0.277185521399783,-0.492005850118111,22.1703743065387
"P35","Prec","fem",-2.65316754473636,0.289095547796336,35.827664612283
"P37","Prec","fem",4.31412825749391,0.260116013595898,26.5064942695265
"P38","Prec","fem",-4.54716782413024,0.13399268824584,26.3960247689414
"P41","Prec","fem",0.408435191021164,0.343872457491959,13.7874310831492
"P44","Prec","fem",-2.13841777870771,0.453240659875698,-10.7208588480026
"P47","Prec","fem",6.15008102953305,-0.405776215705878,77.1446119920078
"P49","Prec","fem",-2.28794134299122,-0.380784321004392,-50.0006857430079
"P54","Prec","fem",-3.90495476315591,-0.0885510616284098,37.3734081083897
"P55","Prec","fem",-2.63381932228002,-0.185457331759476,-6.35774659283788
"P56","Prec","fem",-5.68507602136052,0.221396978070467,-34.7775154899922
"P60","Prec","fem",-3.74222020120354,0.179780830328667,-4.95979419252394
"P61","Prec","fem",-3.53230404639803,0.292951533695144,-3.19139921459053
"P62","Prec","fem",0.069537227423024,0.0226596639155381,43.469208041583
"P64","Prec","fem",-0.735425344487618,0.16699082389857,-27.6370471178038
"P65","Prec","fem",-6.59906281500976,-0.366120045786604,-7.48291450254706
"P94","Prec","fem",-1.5613781735856,0.160747356518434,40.081999386036
"P95","Prec","fem",-3.25243322261956,0.023596798309382,33.1684273721153
"G191","Prec","fes",-1.02103037758631,0.337856671036617,0.697276255572054
"G451","Prec","fes",-2.95448037048827,1.17529763072309,42.0273560321144
"G631","Prec","fes",1.30219837968549,0.0652725593060513,46.5572346710084
"G781","Prec","fes",-5.82941532121474,0.729812391266707,44.8026286205334
"G911","Prec","fes",2.08680858791323,1.55104590619349,36.4682168744849
"P45","Prec","fes",11.5074597284078,-0.100856372465743,28.2180014179572
"P510","Prec","fes",4.50298889695888,1.01663828137527,66.8860479582978
"P810","Prec","fes",-3.54735784206422,2.26577459141846,32.5139568205665
"P91","Prec","fes",3.46566486552341,2.12600053203447,24.7408384711828
"P161","Prec","fes",0.635021562140658,1.61346240729227,48.7166895846827
"P211","Prec","fes",-1.85601530943211,-0.108802774623748,48.0769058378212
"P231","Prec","fes",-1.46713985053552,-1.46988363308675,3.27972612441129
"P301","Prec","fes",-5.67852039795381,-0.430133040252656,-6.67627917592945
"P701","Prec","fes",1.4074559027315,0.0605640211625572,10.1635045218537
"P711","Prec","fes",1.9494849453878,0.237926868849922,7.57217614701361
"P791","Prec","fes",0.963669866032915,1.06417631248903,-10.6284756255981
"P801","Prec","fes",5.5386678608808,1.52900174189197,23.7084648584294
"P811","Prec","fes",-4.53777545462477,1.45293656857281,33.3020685027524
"P821","Prec","fes",-7.92237088827911,2.07814976227832,20.8183302621864
"P841","Prec","fes",-4.33066696834847,2.17105194456539,47.8203771391676
"P851","Prec","fes",-1.69884367583511,0.322341509444592,25.4724534662659
"P931","Prec","fes",-19.8613021588127,-0.431176299438545,-12.6437763717153
"P19","Prec","fes",-4.73109052231135,1.8958630354899,11.0152838001516
"P310","Prec","fes",-8.20029273675669,-0.614779373636989,25.010326594194
"P63","Prec","fes",2.10403421293198,1.09270345469443,31.4783731549171
"P78","Prec","fes",1.43214069928907,-0.400429252487058,5.94675801903641
"P111","Prec","fes",-9.2714838009278,-0.0102939968229814,48.9221961970924
"P121","Prec","fes",-7.38433324131504,0.430712828518052,20.1894158301677
"P131","Prec","fes",4.84980140095699,0.702168758850271,21.6376109343868
"P171","Prec","fes",-7.91684036728212,1.55615388451707,11.7711013478356
"P201","Prec","fes",0.228717696113098,1.92277792668806,-3.43711140442235
"P221","Prec","fes",6.1930174789607,0.031637438777079,-44.494644648038
"P241","Prec","fes",8.07750391683154,-0.255280500942738,3.51272285880127
"P251","Prec","fes",2.82040752400611,-1.27910936460593,-50.1982246047569
"P261","Prec","fes",1.7421697391403,-1.43260758342576,-26.0397202431304
"P271","Prec","fes",12.6013245274668,-2.58465614005411,25.4775313633424
"P281","Prec","fes",-4.60389218341121,0.408813866032205,24.7150582003146
"P291","Prec","fes",-2.254820854829,0.349546804274115,16.4449584791339
"P321","Prec","fes",-1.43710861331575,1.55424137033981,11.5487194135422
"P341","Prec","fes",8.26377208275913,-1.66217097556475,-150.623877652944
"P361","Prec","fes",0.300632257404859,0.236321745241479,-10.7970431007165
"P391","Prec","fes",3.66013473797778,-0.0350810328863117,21.4417489061603
"P401","Prec","fes",-10.8082005946306,0.407799409225155,-7.48288101987903
"P421","Prec","fes",9.52897345186024,-0.162424343461302,-50.003005880274
"P431","Prec","fes",-7.1141034218613,-0.834861050312962,1.4071686196234
"P461","Prec","fes",6.46841446455371,-1.66727895388832,-15.7732463628356
"P481","Prec","fes",-1.79424538362465,-1.22125619983497,-100.871414164376
"P501","Prec","fes",5.75214910952587,-1.23849977638175,-71.808810759148
"P511","Prec","fes",12.1048375934381,-1.71437152001638,-14.5681168313036
"P521","Prec","fes",-1.22303548351734,-1.15728059993339,-12.1078152231818
"P531","Prec","fes",-0.79529428895231,-0.211429423766622,32.2513864748677
"P571","Prec","fes",1.22660933889116,0.658855196271116,33.7433771403145
"P581","Prec","fes",2.21001428387541,0.10117360938674,9.67938729268545
"P591","Prec","fes",-0.691494457840155,0.72127169736989,76.9694528143462
"P661","Prec","fes",7.13049244321657,-1.22307666440099,-60.5118996235253
"P671","Prec","fes",-0.94784508890163,1.16748567804455,89.0828004105362
"P681","Prec","fes",4.67731121369274,-1.29914183772014,-86.2863996863903
"P691","Prec","fes",-4.36251386094184,-0.687386089613713,-48.00731653118
"P721","Prec","fes",8.75898716077873,-0.765278854897673,-44.4128272910475
"P731","Prec","fes",-3.19745490046609,-1.35467592073496,-9.76210254546992
"P741","Prec","fes",-1.45679121709231,-0.643496115030759,-18.2560744075034
"P751","Prec","fes",3.67309796497998,-0.147545873476293,-51.699037742193
